n,m,F,phy_mob_a,beta_p,soc_mob_a,beta_s,r,s,tolerance,q,theta,init_random_prob,radius,noise_rate,num_joint_activities,pool_multiplier,run,time,avg_path_length,dia,avg_degree,cluster_coeff,corr_soc_phy,corr_soc_cul,corr_phy_cul,num_cultures,size_culture,overall_diversity,ass,num_components,largest_component,within_component_diversity,between_component_diversity,component_diversity_ratio,num_communities,largest_community,within_community_diversity,between_community_diversity,community_diversity_ratio,social_clustering,social_closeness,physical_closeness,overall_closeness,physicalStability,socialStability,culturalStability,num_culture_components,num_regions,max_region_size,num_cooperators,num_defectors,num_strategy_regions,max_strategy_region_size,avg_num_players,avg_num_cooperators,avg_did_cooperate,avg_cooperators_over_players,avg_did_cooperate_over_cooperators,avg_payoff,avg_defector_payoff,avg_cooperator_payoff,avg_mpcr,avg_pool_multiplier
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,20000000,nan,nan,nan,nan,nan,nan,nan,0.2806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.7186,0.0068,0,10000,0.0001,1.0,7.8204,0.00134079,0.000999765,0.000536005,nan,4.89319e-05,0.000132262,-8.33304e-05,0.6,4.69224
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,30000000,nan,nan,nan,nan,nan,nan,nan,0.2266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6769,0.0048,0,10000,0.0001,1.0,8.18064,0.000892958,0.000665838,0.000356977,nan,3.25884e-05,8.8086e-05,-5.54976e-05,0.6,4.90838
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,40000000,nan,nan,nan,nan,nan,nan,nan,0.1827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6551,0.0075,0,10000,0.0001,1.0,8.43397,0.000669373,0.000499122,0.000267595,nan,2.44287e-05,6.60305e-05,-4.16018e-05,0.6,5.06038
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,50000000,nan,nan,nan,nan,nan,nan,nan,0.1481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6119,0.0113,0,10000,0.0001,1.0,8.63997,0.000535331,0.000399172,0.000214008,nan,1.95368e-05,5.28078e-05,-3.3271e-05,0.6,5.18398
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,60000000,nan,nan,nan,nan,nan,nan,nan,0.1502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5999,0.0116,0,10000,0.0001,1.0,8.79828,0.000446014,0.000332573,0.000178303,nan,1.62772e-05,4.39972e-05,-2.77199e-05,0.6,5.27897
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,70000000,nan,nan,nan,nan,nan,nan,nan,0.1554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6125,0.0065,0,10000,0.0001,1.0,8.90205,0.00038224,0.000285019,0.000152808,nan,1.39498e-05,3.77062e-05,-2.37564e-05,0.6,5.34123
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,80000000,nan,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5907,0.0098,0,10000,0.0001,1.0,8.99241,0.000334422,0.000249364,0.000133692,nan,1.22047e-05,3.29891e-05,-2.07844e-05,0.6,5.39545
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,90000000,nan,nan,nan,nan,nan,nan,nan,0.1299,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5834,0.0138,0,10000,0.0001,1.0,9.06321,0.000297238,0.000221637,0.000118826,nan,1.08477e-05,2.93211e-05,-1.84734e-05,0.6,5.43793
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,100000000,nan,nan,nan,nan,nan,nan,nan,0.1325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6192,0.0182,0,10000,0.0001,1.0,9.12765,0.000267495,0.000199459,0.000106936,nan,9.76219e-06,2.63871e-05,-1.66249e-05,0.6,5.47659
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,1.0,0.0001,5080,4920,0.137,0.0227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,10000000,nan,nan,nan,nan,nan,nan,nan,0.4931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.8137,0.002,10,9990,0.0003,0.999,6.3431,0.0547813,0.0540799,0.0187493,nan,0.00748466,0.000367494,0.00711716,0.6,3.80586
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,20000000,nan,nan,nan,nan,nan,nan,nan,0.2958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.7327,0.0055,4,9996,0.0002,0.9996,7.40399,0.0274631,0.0271218,0.00931267,nan,0.00386287,0.000178907,0.00368396,0.6,4.44239
